Name,No. of Courses,Difficulty,Authors,In collaboration with,Link
Machine Learning Specialization,3 Courses,Introductory,"Andrew Ng, Eddy Shyu, Aarti Bagul, Geoff Ladwig",Stanford Online,https://www.deeplearning.ai/courses/machine-learning-specialization/
Mathematics for Machine Learning and Data Science Specialization,3 Courses,Introductory,Luis Serrano,,https://www.deeplearning.ai/courses/mathematics-for-machine-learning-and-data-science-specialization/
AI for Everyone,1 Course,Introductory,Andrew Ng,,https://www.deeplearning.ai/courses/ai-for-everyone/
AI for Good,3 Courses,Introductory,Robert Monarch,,https://www.deeplearning.ai/courses/ai-for-good/
Generative AI for Everyone,1 Course,Introductory,Andrew Ng,,https://www.deeplearning.ai/courses/generative-ai-for-everyone/
Deep Learning Specialization,5 Courses,Intermediate,"Andrew Ng, Kian Katanforoosh, Younes Bensouda Mourri",,https://www.deeplearning.ai/courses/deep-learning-specialization/
Natural Language Processing Specialization,4 Courses,Intermediate,"Younes Bensouda Mourri, Lukasz Kaiser, Eddy Shyu",Hugging Face,https://www.deeplearning.ai/courses/natural-language-processing-specialization/
AI for Medicine Specialization,3 Courses,Intermediate,"Pranav Rajpurkar, Amirhossein Kiani, Bora Uyumazturk, Eddy Shyu",,https://www.deeplearning.ai/courses/ai-for-medicine-specialization/
TensorFlow: Data and Deployment Specialization,4 Courses,Intermediate,Laurence Moroney,,https://www.deeplearning.ai/courses/tensorflow-data-and-deployment-specialization/
TensorFlow Developer Professional Certificate,4 Courses,Intermediate,Laurence Moroney,,https://www.deeplearning.ai/courses/tensorflow-developer-professional-certificate/
Generative Adversarial Networks (GANs) Specialization,3 Courses,Intermediate,"Sharon Zhou, Eda Zhou, Eric Zelikman",,https://www.deeplearning.ai/courses/generative-adversarial-networks-gans-specialization/
TensorFlow: Advanced Techniques Specialization,4 Courses,Intermediate,"Laurence Moroney, Eddy Shyu",,https://www.deeplearning.ai/courses/tensorflow-advanced-techniques-specialization/
Generative AI with LLMs,1 Course,Intermediate,"Antje Barth, Chris Fregly, Shelbee Eigenbrode, Mike Chambers",,https://www.deeplearning.ai/courses/generative-ai-with-llms/
Machine Learning Engineering for Production (MLOps) Specialization,4 Courses,Advanced,"Andrew Ng, Cristian Bartolom  Ar mburu, Robert Crowe, Laurence Moroney",,https://www.deeplearning.ai/courses/machine-learning-engineering-for-production-mlops/
